Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,GME,INTC,GME,INTC,GME,INTC,GME,INTC,GME,INTC
Date,,,,,,,,,,
2024-07-29,23.600000381469727,30.63566017150879,24.3799991607666,31.27162526588968,23.540000915527344,30.595913300772725,24.229999542236328,31.221941203638227,7250200,32342200
2024-07-30,22.399999618530273,29.94007110595703,23.889999389648438,30.715154964946016,22.34000015258789,29.820828601697457,23.600000381469727,30.655533712816226,9272400,48256600
2024-07-31,22.670000076293945,30.546226501464844,23.450000762939453,30.675408092279664,22.610000610351562,30.08912707630577,22.860000610351562,30.34748836260998,8005800,56110600
2024-08-01,21.709999084472656,28.866878509521484,23.09000015258789,30.516414316046976,21.559999465942383,28.70788724349436,22.920000076293945,30.238180548162198,9334400,107672500
2024-08-02,21.06999969482422,21.3445987701416,21.610000610351562,21.8414469830145,20.43000030517578,20.291281089542203,20.950000762939453,21.801700111553938,9030000,300895900
2024-08-05,20.649999618530273,19.983234405517578,20.799999237060547,20.26146817330116,18.729999542236328,19.168403693593557,18.829999923706055,20.072667229540986,12205900,147385700
2024-08-06,21.280000686645508,19.704999923706055,21.579999923706055,20.4999563012095,20.260000228881836,19.62550428595571,21.020000457763672,20.191910941842604,6505300,106670400
2024-08-07,20.829999923706055,18.989999771118164,21.459999084472656,20.25,20.3799991607666,18.950000762939453,21.149999618530273,19.920000076293945,6101100,97972300
2024-08-08,21.75,20.489999771118164,21.8799991607666,20.549999237060547,20.809999465942383,18.84000015258789,21.010000228881836,19.100000381469727,5439700,96836800
2024-08-09,21.93000030517578,19.709999084472656,22.170000076293945,20.149999618530273,21.459999084472656,19.5,21.510000228881836,20.079999923706055,4828900,76394500
2024-08-12,21.8799991607666,19.360000610351562,22.270000457763672,19.969999313354492,21.450000762939453,19.0,21.979999542236328,19.8700008392334,4449100,54677600
2024-08-13,22.270000457763672,20.469999313354492,22.3799991607666,20.479999542236328,21.860000610351562,19.469999313354492,21.959999084472656,19.479999542236328,3913700,77511300
2024-08-14,21.989999771118164,19.920000076293945,22.729999542236328,20.5,21.790000915527344,19.790000915527344,22.34000015258789,20.489999771118164,3489400,56758200
2024-08-15,22.530000686645508,20.690000534057617,22.84000015258789,21.059999465942383,21.969999313354492,20.229999542236328,22.25,20.31999969482422,5361400,84814900
2024-08-16,22.399999618530273,20.8700008392334,22.690000534057617,20.899999618530273,22.239999771118164,20.40999984741211,22.3700008392334,20.530000686645508,3641800,48582700
2024-08-19,22.65999984741211,21.520000457763672,23.100000381469727,21.860000610351562,22.31999969482422,20.84000015258789,22.350000381469727,20.889999389648438,4543500,65956300
2024-08-20,22.280000686645508,20.989999771118164,22.520000457763672,21.229999542236328,21.959999084472656,20.81999969482422,22.5,21.209999084472656,3570300,84161300
2024-08-21,22.549999237060547,21.40999984741211,22.649999618530273,21.440000534057617,22.15999984741211,21.06999969482422,22.170000076293945,21.06999969482422,3163200,57028900
2024-08-22,22.1200008392334,20.100000381469727,22.760000228881836,21.399999618530273,22.09000015258789,20.040000915527344,22.5,21.389999389648438,3382500,81444700
